feature,obs_mean,obs_sd,null_mean,null_sd,mean_diff,z_screen_mc,p_screen_mc,null_q025,null_median,null_q975,q_bh_screen_mc
centroid_x,0.014536632702571568,0.23345860389553022,0.0012333333333333332,0.23570681198979856,0.013303299369238235,3.055857651243658,0.002244177733314533,-0.4666666666666667,0.0,0.4666666666666667,0.060078772668442304
col_5,3.0634643377001454,0.991543271337457,3.00825,0.9910252489478775,0.0552143377001455,3.016567427861714,0.0025565435178060555,1.0,3.0,5.0,0.060078772668442304
cov_xy,0.011653889697557821,0.3452799074327856,-0.002857999999999999,0.34227693592918024,0.01451188969755782,2.295578892439715,0.021699970787200203,-0.6666666666666666,-2.960594732333751e-17,0.6666666666666666,0.2932463587347389
row_3,3.0273653566229983,0.989376838117592,2.9897,1.0034661216069334,0.0376653566229983,2.0322880275293804,0.04212450579613339,1.0,3.0,5.0,0.2932463587347389
row_2,2.9778748180494907,1.008744308743678,3.015,0.9999124917959383,-0.0371251819505094,-2.0102611813580715,0.044403553082323646,1.0,3.0,5.0,0.2932463587347389
sym_diag_main,0.6642794759825327,0.10280852340419194,0.6680766666666667,0.10341121760877638,-0.0037971906841339775,-1.9881110749535853,0.04679940678523443,0.4666666666666667,0.6666666666666666,0.8666666666666667,0.2932463587347389
inner_ring,4.757496360989811,1.1702727393312273,4.80005,1.1636742260552217,-0.042553639010188604,-1.9799361235205541,0.04771070669954201,3.0,5.0,7.0,0.2932463587347389
center,0.609315866084425,0.4879747564426331,0.59195,0.4914847661563562,0.01736586608442503,1.9130762320655568,0.055738294003438826,0.0,1.0,1.0,0.2932463587347389
adj_diag_dl,5.561572052401747,1.3145092725134684,5.60785,1.3119658685430848,-0.0462779475982531,-1.9098420130108043,0.056153558055588304,3.0,6.0,8.0,0.2932463587347389
adj_orth,13.942940320232896,1.7974628063239937,14.00195,1.7932113589448657,-0.05900967976710447,-1.7817126613249696,0.07479610109738793,11.0,14.0,18.0,0.3195833410524757
perimeter4,32.11411935953421,3.5949256126479874,31.9961,3.5864227178897314,0.11801935953420895,1.7817126613249696,0.07479610109738793,24.0,32.0,38.0,0.3195833410524757
adj_v,6.970887918486172,1.308220591435459,7.00865,1.3037485054673217,-0.03776208151382843,-1.5682236223151351,0.1168289533617397,4.0,7.0,9.0,0.4008722506094446
v_runs,8.029112081513828,1.308220591435459,7.99135,1.3037485054673217,0.03776208151382843,1.5682236223151351,0.1168289533617397,6.0,8.0,11.0,0.4008722506094446
compactness,0.1903895513023337,0.047857311767139026,0.19174129966228456,0.04778863204553565,-0.0013517483599508606,-1.5315004965586019,0.12564574379703122,0.13053709086938198,0.18407769454627693,0.32724923474893675,0.4008722506094446
comp4_count,2.7970887918486174,1.095281733477609,2.7665,1.0920335969505899,0.03058879184861718,1.516604058833511,0.12936668002230303,1.0,3.0,5.0,0.4008722506094446
var_x,1.9541322982371019,0.28864959045768934,1.9462302222222225,0.2924861605007064,0.007902076014879356,1.4627892875802635,0.1435250452254916,1.3955555555555557,1.9555555555555557,2.5155555555555553,0.4008722506094446
col_1,2.972052401746725,0.9784094741851258,2.9984,0.9993734924285659,-0.02634759825327526,-1.4274440555824597,0.15345193983343725,1.0,3.0,5.0,0.4008722506094446
sym_diag_anti,0.6692867540029112,0.10265166358585293,0.6665733333333334,0.10293940506406979,0.002713420669577804,1.427188588787296,0.1535255427865958,0.4666666666666667,0.6666666666666666,0.8666666666666667,0.4008722506094446
longest_diag,3.6739446870451236,0.7241603998084335,3.65645,0.7167629210235751,0.01749468704512358,1.321528510254169,0.18632520270850483,2.0,4.0,5.0,0.46090971196314356
adj_diag,11.15109170305677,2.197352632679888,11.20035,2.1409434974919286,-0.04925829694323092,-1.2457189650016893,0.2128675885871565,7.0,11.0,15.0,0.46262479957762676
col_2,2.977583697234352,1.0111887087694753,3.0007,1.0089352841091326,-0.023116302765648022,-1.2405119530819082,0.2147860958272565,1.0,3.0,5.0,0.46262479957762676
bbox_width,4.993595342066958,0.07978402983588234,4.9915,0.09180507289126473,0.002095342066957606,1.235760024061162,0.21654777852569762,5.0,5.0,5.0,0.46262479957762676
radius_gyration,1.9720703897178726,0.10433866883509747,1.9697334558696398,0.1049190000000346,0.0023369338482328583,1.2059746141006153,0.22782727884803777,1.7613126418163876,1.9742787317985198,2.1664102412362563,0.46545470650446563
