window,n_contests,dezena,row,col,observed_count,observed_rate,expected_count_n0,expected_rate_n0,z_n0
total,3435,1,1,1,2073,0.6034934497816594,2061.0,0.6,0.4179383795285729
total,3435,2,1,2,2060,0.5997088791848617,2061.0,0.6,-0.03482819829404774
total,3435,3,1,3,2074,0.6037845705967977,2061.0,0.6,0.4527665778226206
total,3435,4,1,4,2072,0.6032023289665212,2061.0,0.6,0.3831101812345251
total,3435,5,1,5,2061,0.6,2061.0,0.6,0.0
total,3435,6,2,1,2013,0.5860262008733624,2061.0,0.6,-1.6717535181142915
total,3435,7,2,2,2026,0.5898107714701601,2061.0,0.6,-1.2189869402916709
total,3435,8,2,3,1992,0.5799126637554585,2061.0,0.6,-2.403145682289294
total,3435,9,2,4,2052,0.5973799126637555,2061.0,0.6,-0.31345378464642965
total,3435,10,2,5,2146,0.624745269286754,2061.0,0.6,2.960396854994058
total,3435,11,3,1,2116,0.6160116448326055,2061.0,0.6,1.9155509061726257
total,3435,12,3,2,2064,0.6008733624454149,2061.0,0.6,0.10448459488214322
total,3435,13,3,3,2093,0.609315866084425,2061.0,0.6,1.1145023454095278
total,3435,14,3,4,2088,0.6078602620087337,2061.0,0.6,0.940361353939289
total,3435,15,3,5,2038,0.5933042212518195,2061.0,0.6,-0.801048560763098
total,3435,16,4,1,1969,0.573216885007278,2061.0,0.6,-3.204194243052392
total,3435,17,4,2,2023,0.5889374090247452,2061.0,0.6,-1.323471535173814
total,3435,18,4,3,2051,0.5970887918486172,2061.0,0.6,-0.3482819829404774
total,3435,19,4,4,2046,0.5956331877729257,2061.0,0.6,-0.5224229744107161
total,3435,20,4,5,2151,0.6262008733624455,2061.0,0.6,3.1345378464642963
total,3435,21,5,1,2038,0.5933042212518195,2061.0,0.6,-0.801048560763098
total,3435,22,5,2,2055,0.5982532751091703,2061.0,0.6,-0.20896918976428644
total,3435,23,5,3,2006,0.5839883551673944,2061.0,0.6,-1.9155509061726257
total,3435,24,5,4,2091,0.6087336244541485,2061.0,0.6,1.0448459488214321
total,3435,25,5,5,2127,0.6192139737991267,2061.0,0.6,2.298661087407151
last_1000,1000,1,1,1,615,0.615,600.0,0.6,0.9682458365518541
last_1000,1000,2,1,2,610,0.61,600.0,0.6,0.6454972243679028
last_1000,1000,3,1,3,595,0.595,600.0,0.6,-0.3227486121839514
last_1000,1000,4,1,4,603,0.603,600.0,0.6,0.19364916731037085
